doc_id,source_type,culture_group,text
doc_1,dream,synthetic_a,"A child crossed a threshold and found a tree beside dark water."
doc_2,dream,synthetic_a,"A shadow followed the traveler into a cave below the city."
doc_3,dream,synthetic_b,"A guide appeared with fire and led the dreamer toward rebirth."
doc_4,dream,synthetic_b,"A circle of stones opened at the center of the dream."
doc_5,myth,synthetic_c,"The king lost his crown after a flood covered the old road."
doc_6,myth,synthetic_c,"A snake circled the tree while the mother searched for the child."
doc_7,myth,synthetic_d,"The hero descended into a cave and returned with a broken stone."
doc_8,myth,synthetic_d,"A trickster stole fire from the king and opened the gate."
doc_9,religious,synthetic_a,"The vessel was washed with water before the initiate crossed the threshold."
doc_10,religious,synthetic_b,"The mother placed a seed in darkness beneath the moon."
doc_11,religious,synthetic_c,"A sacred center appeared after sacrifice and return."
doc_12,religious,synthetic_d,"The world tree rose between sun, moon, and water."
doc_13,literary,synthetic_a,"A double walked through the city carrying a dark mirror."
doc_14,literary,synthetic_b,"At the threshold, a masked figure offered moonlight and fire."
doc_15,literary,synthetic_c,"A lonely child met an elder guide under the sun and tree."
doc_16,literary,synthetic_d,"The traveler entered the underworld and returned with a new name."
doc_17,cultural_memory,synthetic_a,"A flood returned in stories of exile, migration, and the city that vanished."
doc_18,cultural_memory,synthetic_b,"The old mother carried a vessel of water across a broken threshold."
doc_19,cultural_memory,synthetic_c,"The shadow of the destroyed house followed the child into every dream."
doc_20,cultural_memory,synthetic_d,"A tree stood at the center of the village after fire and return."
