motif,term,motif_family,notes
house_structure,house,prospective,House as psychic structure or self-organization
house_structure,room,prospective,Room as psychic space, memory, or capacity
house_structure,door,prospective,Door as threshold or access point
house_structure,stairway,prospective,Stairway as transition between levels
house_structure,window,prospective,Window as perspective or opening
transition_path,bridge,prospective,Bridge as movement between divided states
transition_path,road,prospective,Road as direction or developmental path
transition_path,path,prospective,Path as symbolic movement
transition_path,gate,prospective,Gate as liminal passage
transition_path,threshold,prospective,Threshold as transition or boundary
emergent_life,child,prospective,Child as emerging life or undeveloped possibility
emergent_life,seed,prospective,Seed as latent development
emergent_life,garden,prospective,Garden as cultivated renewal
emergent_life,dawn,prospective,Dawn as emergent consciousness or hope
emergent_life,birth,prospective,Birth as new beginning
shadow_encounter,shadow,compensatory,Shadow as disowned material or projected content
shadow_encounter,snake,compensatory,Snake as ambivalent instinct, danger, healing, or shadow
shadow_encounter,monster,compensatory,Monster as feared or rejected material
shadow_encounter,stranger,compensatory,Stranger as unknown psychic content
shadow_encounter,animal,compensatory,Animal as instinct, body, or unconscious life
center_orientation,circle,prospective,Circle as ordering image or wholeness tendency
center_orientation,center,prospective,Center as psychic orientation
center_orientation,temple,prospective,Temple as symbolic order or sacred center
center_orientation,tree,prospective,Tree as growth, rootedness, and axial order
center_orientation,stone,prospective,Stone as durable center or symbolic ground
affective_depth,water,compensatory,Water as affect, unconscious, or emotional depth
affective_depth,flood,compensatory,Flood as overwhelm or dissolution
affective_depth,sea,compensatory,Sea as vast affective or unconscious field
affective_depth,river,compensatory,River as emotional flow or transition
affective_depth,rain,compensatory,Rain as grief, cleansing, or affective release
transformation_fire,fire,compensatory,Fire as destruction, transformation, or intensity
transformation_fire,ash,compensatory,Ash as aftermath or residue of transformation
transformation_fire,flame,compensatory,Flame as living intensity
transformation_fire,burning,compensatory,Burning as destruction or purification
guidance,guide,prospective,Guide as symbolic mediation or orientation
guidance,teacher,prospective,Teacher as instruction or perspective
guidance,map,prospective,Map as orientation
guidance,star,prospective,Star as direction or distant guidance
guidance,compass,prospective,Compass as direction and orientation
persona_mask,mask,compensatory,Mask as persona, social adaptation, or concealment
persona_mask,stage,compensatory,Stage as public persona
persona_mask,curtain,compensatory,Curtain as backstage or hidden layer
persona_mask,mirror,compensatory,Mirror as self-recognition or exposure
